Node Number	Directional Deformation (m)
1	0.
2	0.
3	0.
4	0.
5	-2.118e-002
6	-9.5282e-002
7	-0.20971
8	-0.35172
9	-0.5086
10	-0.66831
11	-0.81974
12	-0.95294
13	-1.0595
14	-1.1325
15	-1.167
16	-1.16
17	-1.1105
18	-1.0195
19	-0.88991
20	-0.72638
21	-0.53509
22	-0.32348
23	-9.9899e-002
24	0.12673
25	0.3473
26	0.55292
27	0.73525
28	0.8869
29	1.0017
30	1.075
31	1.1039
32	1.0872
33	1.0255
34	0.92157
35	0.7796
36	0.60548
37	0.40639
38	0.19055
39	-3.3149e-002
40	-0.2555
41	-0.46734
42	-0.65995
43	-0.82541
44	-0.9569
45	-1.049
46	-1.098
47	-1.1018
48	-1.0602
49	-0.97506
50	-0.8498
51	-0.68959
52	-0.50104
53	-0.2919
54	-7.0807e-002
55	0.15314
56	0.37071
57	0.57293
58	0.75146
59	0.89893
60	1.0093
61	1.0779
62	1.102
63	1.0806
64	1.0145
65	0.90648
66	0.76101
67	0.58409
68	0.38302
69	0.16613
70	-5.7596e-002
71	-0.27885
72	-0.48841
73	-0.67748
74	-0.83805
75	-0.96321
76	-1.0474
77	-1.0867
78	-1.0788
79	-1.0231
80	-0.9209
81	-0.77497
82	-0.58954
83	-0.37001
84	-0.12259
85	0.1461
86	0.4295
87	0.72157
88	1.0174
89	0.
90	1.3137
91	0.
92	0.
93	0.
94	0.
95	0.
96	0.
97	0.
98	-2.1181e-002
99	-9.5283e-002
100	-0.20971
101	-0.35172
102	-0.5086
103	-0.66832
104	-0.81974
105	-0.95294
106	-1.0595
107	-1.1325
108	-1.167
109	-1.16
110	-1.1105
111	-1.0195
112	-0.88991
113	-0.72638
114	-0.53509
115	-0.32348
116	-9.9898e-002
117	0.12673
118	0.3473
119	0.55292
120	0.73525
121	0.8869
122	1.0017
123	1.075
124	1.1039
125	1.0872
126	1.0255
127	0.92157
128	0.7796
129	0.60548
130	0.40639
131	0.19055
132	-3.3149e-002
133	-0.2555
134	-0.46734
135	-0.65995
136	-0.82541
137	-0.9569
138	-1.049
139	-1.098
140	-1.1018
141	-1.0602
142	-0.97506
143	-0.8498
144	-0.68959
145	-0.50104
146	-0.29191
