Node Number	Directional Deformation (m)
1	0.
2	0.
3	0.
4	0.
5	1.166e-004
6	1.0939e-003
7	3.0828e-003
8	6.1339e-003
9	1.0258e-002
10	1.545e-002
11	2.1696e-002
12	2.8978e-002
13	3.7275e-002
14	4.6568e-002
15	5.6834e-002
16	6.8053e-002
17	8.0204e-002
18	9.3264e-002
19	0.10722
20	0.12204
21	0.13771
22	0.15421
23	0.17152
24	0.18963
25	0.20851
26	0.22814
27	0.24851
28	0.26959
29	0.29138
30	0.31385
31	0.33697
32	0.36075
33	0.38515
34	0.41016
35	0.43577
36	0.46194
37	0.48868
38	0.51595
39	0.54375
40	0.57206
41	0.60086
42	0.63012
43	0.65985
44	0.69002
45	0.72061
46	0.75161
47	0.783
48	0.81477
49	0.8469
50	0.87937
51	0.91218
52	0.94531
53	0.97874
54	1.0125
55	1.0464
56	1.0807
57	1.1152
58	1.1499
59	1.1849
60	1.22
61	1.2554
62	1.2909
63	1.3266
64	1.3625
65	1.3985
66	1.4347
67	1.471
68	1.5073
69	1.5439
70	1.5805
71	1.6171
72	1.6539
73	1.6908
74	1.7277
75	1.7646
76	1.8016
77	1.8387
78	1.8758
79	1.9129
80	1.95
81	1.9872
82	2.0244
83	2.0616
84	2.0987
85	2.136
86	2.1732
87	2.2104
88	2.2476
89	0.
90	2.2848
91	0.
92	0.
93	0.
94	0.
95	0.
96	0.
97	0.
98	1.166e-004
99	1.0939e-003
100	3.0828e-003
101	6.1339e-003
102	1.0258e-002
103	1.545e-002
104	2.1696e-002
105	2.8978e-002
106	3.7275e-002
107	4.6568e-002
108	5.6834e-002
109	6.8053e-002
110	8.0204e-002
111	9.3264e-002
112	0.10722
113	0.12204
114	0.13771
115	0.15421
116	0.17152
117	0.18963
118	0.20851
119	0.22814
120	0.24851
121	0.26959
122	0.29138
123	0.31385
124	0.33697
125	0.36075
126	0.38515
127	0.41016
128	0.43577
129	0.46194
130	0.48868
131	0.51595
132	0.54375
133	0.57206
134	0.60086
135	0.63012
136	0.65985
137	0.69002
138	0.72061
139	0.75161
140	0.783
141	0.81477
142	0.8469
143	0.87937
144	0.91218
145	0.94531
146	0.97874
147	1.0125
148	1.0464
149	1.0807
150	1.1152
151	1.1499
