Node Number	Directional Deformation (m)
1	0.
2	0.
3	0.
4	0.
5	2.0727e-005
6	2.3368e-004
7	6.7852e-004
8	1.3695e-003
9	2.3105e-003
10	3.5009e-003
11	4.9379e-003
12	6.6171e-003
13	8.5336e-003
14	1.0682e-002
15	1.3057e-002
16	1.5652e-002
17	1.8463e-002
18	2.1482e-002
19	2.4706e-002
20	2.8127e-002
21	3.1741e-002
22	3.5541e-002
23	3.9523e-002
24	4.3681e-002
25	4.8009e-002
26	5.2502e-002
27	5.7155e-002
28	6.1963e-002
29	6.6919e-002
30	7.202e-002
31	7.726e-002
32	8.2633e-002
33	8.8136e-002
34	9.3762e-002
35	9.9507e-002
36	0.10537
37	0.11134
38	0.11741
39	0.12358
40	0.12985
41	0.13622
42	0.14267
43	0.1492
44	0.15582
45	0.16251
46	0.16928
47	0.17611
48	0.18302
49	0.18999
50	0.19701
51	0.2041
52	0.21124
53	0.21844
54	0.22569
55	0.23298
56	0.24032
57	0.2477
58	0.25512
59	0.26258
60	0.27008
61	0.27761
62	0.28517
63	0.29276
64	0.30038
65	0.30802
66	0.31569
67	0.32338
68	0.33109
69	0.33882
70	0.34656
71	0.35432
72	0.36209
73	0.36988
74	0.37768
75	0.38548
76	0.3933
77	0.40112
78	0.40895
79	0.41678
80	0.42462
81	0.43246
82	0.4403
83	0.44815
84	0.45599
85	0.46384
86	0.47169
87	0.47954
88	0.48739
89	0.
90	0.49524
91	0.
92	0.
93	0.
94	0.
95	0.
96	0.
97	0.
98	2.0728e-005
99	2.3368e-004
100	6.7852e-004
101	1.3695e-003
102	2.3105e-003
103	3.5009e-003
104	4.9379e-003
105	6.6171e-003
106	8.5336e-003
107	1.0682e-002
108	1.3057e-002
109	1.5652e-002
110	1.8463e-002
111	2.1482e-002
112	2.4706e-002
113	2.8127e-002
114	3.1741e-002
115	3.5541e-002
116	3.9523e-002
117	4.3681e-002
118	4.8009e-002
119	5.2502e-002
120	5.7155e-002
121	6.1963e-002
122	6.6919e-002
123	7.202e-002
124	7.726e-002
125	8.2633e-002
126	8.8136e-002
127	9.3762e-002
128	9.9507e-002
129	0.10537
130	0.11134
131	0.11741
132	0.12358
133	0.12985
134	0.13622
135	0.14267
136	0.1492
