Node Number	Directional Deformation (m)
1	0.
2	0.
3	0.
4	0.
5	2.4361e-002
6	0.10267
7	0.22231
8	0.37326
9	0.54674
10	0.73509
11	0.93155
12	1.13
13	1.3252
14	1.5121
15	1.6866
16	1.845
17	1.9841
18	2.1014
19	2.195
20	2.2632
21	2.3054
22	2.3211
23	2.3106
24	2.2746
25	2.2143
26	2.1313
27	2.0276
28	1.9055
29	1.7675
30	1.6166
31	1.4555
32	1.2874
33	1.1152
34	0.9418
35	0.77007
36	0.60262
37	0.44182
38	0.28978
39	0.14826
40	1.8697e-002
41	-9.7867e-002
42	-0.20077
43	-0.28974
44	-0.36489
45	-0.42668
46	-0.47596
47	-0.51383
48	-0.5417
49	-0.56115
50	-0.57399
51	-0.58209
52	-0.5874
53	-0.59185
54	-0.59732
55	-0.60555
56	-0.61812
57	-0.63638
58	-0.66143
59	-0.69405
60	-0.73471
61	-0.78352
62	-0.84023
63	-0.90424
64	-0.97461
65	-1.0501
66	-1.129
67	-1.2097
68	-1.29
69	-1.3676
70	-1.4403
71	-1.5056
72	-1.5611
73	-1.6045
74	-1.6335
75	-1.6461
76	-1.6405
77	-1.6153
78	-1.5692
79	-1.5014
80	-1.4116
81	-1.2997
82	-1.1662
83	-1.012
84	-0.83828
85	-0.64659
86	-0.43889
87	-0.21599
88	1.845e-002
89	0.
90	0.28614
91	0.
92	0.
93	0.
94	0.
95	0.
96	0.
97	0.
98	2.4353e-002
99	0.10266
100	0.2223
101	0.37324
102	0.54672
103	0.73507
104	0.93153
105	1.13
106	1.3252
107	1.5121
108	1.6866
109	1.845
110	1.9841
111	2.1014
112	2.1949
113	2.2632
114	2.3054
115	2.3211
116	2.3106
117	2.2746
118	2.2143
119	2.1313
120	2.0276
121	1.9054
122	1.7675
123	1.6165
124	1.4555
125	1.2874
126	1.1152
127	0.94179
128	0.77006
129	0.6026
130	0.44181
131	0.28976
132	0.14825
133	1.8684e-002
134	-9.7881e-002
135	-0.20078
136	-0.28975
137	-0.3649
138	-0.4267
139	-0.47597
140	-0.51385
141	-0.54171
142	-0.56117
143	-0.574
144	-0.5821
145	-0.58741
146	-0.59186
147	-0.59733
148	-0.60556
149	-0.61813
150	-0.6364
151	-0.66144
